mcsd_config,Speed,acc_rate
"(2, 1, 1, 1, 1)",69.49589670062508,0.15615712624370073
"(2, 1, 2, 1, 1)",73.52125626794178,0.18664658634538153
"(2, 1, 3, 1, 1)",74.16373256093948,0.20524100994644223
"(2, 1, 4, 1, 1)",80.3534820983409,0.24673008323424495
"(2, 2, 1, 1, 1)",79.97525387093317,0.24057463209530483
"(2, 2, 2, 1, 1)",87.62379752988673,0.2944915254237288
"(2, 2, 3, 1, 1)",85.68180430123209,0.29593695548867416
"(2, 2, 4, 1, 1)",91.86422874198672,0.348219128548183
"(2, 3, 1, 1, 1)",87.738422574766,0.29340875553369405
"(2, 3, 2, 1, 1)",90.09179902458835,0.32643229166666665
"(2, 3, 3, 1, 1)",96.30634834190919,0.3818465655664585
"(2, 3, 4, 1, 1)",95.7747405873241,0.4195575911128435
"(2, 4, 1, 1, 1)",89.8740200017396,0.31961398878258
"(2, 4, 2, 1, 1)",96.34467348664307,0.380769940915805
"(2, 4, 3, 1, 1)",103.19513316423078,0.4731578947368421
"(2, 4, 4, 1, 1)",101.55134180781165,0.468108052588332
